Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
Tns3	OPC	0	35	2.411259586247175	1.9348969485583802	
Scrg1	OPC	0	36	2.6375589416314216	2.1430699142351224	
Zcchc24	OPC	0	37	2.101110394871994	1.7237840820400732	
Gfra1	OPC	0	38	2.58855068904067	2.126354469423623	
Gpt2	OPC	0	39	2.444545400893149	2.012982952287053	
Fign	OPC	0	40	2.5824335438591337	2.1524543240295775	
Olig1	OPC	0	41	3.509844782873268	2.951226210849906	
Mertk	OPC	0	42	3.1327744708686924	2.6362154417852772	
Cpq	OPC	0	43	2.494239465646032	2.1196476270335047	
Pllp	OPC	0	44	1.946824425335048	1.6583029643799163	
Lpcat2	OPC	0	45	1.7765410939738093	1.5154254484449143	
Adam12	OPC	0	46	2.9603485203183024	2.5360878119867976	
Htra1	OPC	0	47	1.9086991924522245	1.6369593835779763	
Phka1	OPC	0	48	2.668057483003227	2.2906032122493984	
Olig2	OPC	0	49	2.336280710692498	2.022407423627882	
Shc4	OPC	0	50	2.191674537740985	1.9076873759259525	
Matn4	OPC	0	51	1.7753922807781644	1.5464352054960826	
Neu4	OPC	0	52	2.3092645880174776	2.0129693993157303	
Ampd3	OPC	0	53	2.471473768890301	2.1769319834514005	
Asrgl1	OPC	0	54	1.642891457832167	1.4490109830103661	
Cd9	OPC	0	55	4.828415470363122	4.261990156907786	
Abtb2	OPC	0	56	4.338837957196345	3.832062823333658	
Eya1	OPC	0	57	2.804680719901985	2.502223324543841	
Prkcq	OPC	0	58	2.2384285188733726	2.003836432192902	
Ednrb	OPC	0	59	2.6094127392718756	2.3500295626115566	
Kcnh8	OPC	0	60	2.448497875306966	2.2136807306064297	
Afap1l2	OPC	0	61	1.9172270651890042	1.7414131225506266	
Slc1a3	OPC	0	62	2.3293967414699366	2.118543341864397	
Wipf1	OPC	0	63	2.7294202630060935	2.4936156156788565	
Marcks	OPC	0	64	2.5415696030698065	2.3428021533388184	
Calcrl	OPC	0	65	2.984796947438441	2.7573374150343968	
Rnf144a	OPC	0	66	1.4948247979930118	1.3823583291710817	
Sema5b	OPC	0	67	2.13029443043877	1.9832259072031961	
Hepacam	OPC	0	68	1.8974695778138804	1.7671206485001407	
Chst2	OPC	0	69	1.6543988586461111	1.5423081272441201	
Dbi	OPC	0	70	2.3939392507290678	2.2328706397475093	
Ugdh	OPC	0	71	1.3363210345622072	1.261372206842333	
Gpr37l1	OPC	0	72	1.5187186661084568	1.434467798924471	
Abca1	OPC	0	73	1.3267160253948165	1.2710537698009374	
Etv4	OPC	0	74	1.3216602263086592	1.2707544820847798	
Mmd2	OPC	0	75	1.4484001654610248	1.3988534108951067	
Rab31	OPC	0	76	2.4559321563216807	2.3812597528103283	
Zfp521	OPC	0	77	1.9088163239200209	1.8525243503573876	
Tmem176b	OPC	0	78	1.4700340762278454	1.4456976615866675	
Phldb1	OPC	0	79	1.1774300770315382	1.1602917592533026	
Sh3bp4	OPC	0	80	1.6649636116487214	1.6438645457126377	
E130114P18Rik	OPC	0	81	1.8065682158034058	1.7954038238018755	
Rnf43	OPC	0	82	2.124054401058038	2.1123179167322963	
Itgb8	OPC	0	83	1.616185353966309	1.649603997628182	
Sdc3	OPC	0	84	1.2598372751284377	1.3107572702116712	
Gpld1	OPC	0	85	1.1561011179092804	1.206464055965272	
0610040J01Rik	OPC	0	86	1.3356872984046646	1.4068625242149537	
Galnt3	OPC	0	87	1.0389232261261698	1.105091642860795	
Lrmda	OPC	0	88	3.0562408791156903	3.2536764231778483	
Smox	OPC	0	89	1.0677243117228894	1.1367573187692102	
Pde1c	OPC	0	90	1.7227711930406215	1.876795793657747	
Gm2a	OPC	0	91	1.3135902463583893	1.4333842689143057	
Tmem100	OPC	0	92	1.4351384130406077	1.5803171403192668	
Susd5	OPC	0	93	1.6745589950426996	1.8455182591460209	
Orai1	OPC	0	94	1.2114780729093468	1.3401334712191284	
Tcf7l2	OPC	0	95	1.4040274011744518	1.5690379833020092	
Lrp4	OPC	0	96	1.1856819810559716	1.3318230048546462	
Il18	OPC	0	97	0.98138297722935	1.1151923079227306	
Tgfa	OPC	0	98	1.2226732136701137	1.399268233592424	
Gsap	OPC	0	99	1.081153718227197	1.2557474599469798	
Cyp2j6	OPC	0	100	1.0865205000099265	1.2728697093432801	
Trib2	OPC	0	101	0.9614867718835375	1.1310503489185115	
Rlbp1	OPC	0	102	1.1075447317625042	1.3045450870943824	
Smoc1	OPC	0	103	1.3033402174180715	1.5387997720972844	
Wscd1	OPC	0	104	0.8272683895226596	0.9945549526031768	
6030407O03Rik	OPC	0	105	0.9147757860727079	1.1104282649977675	
Gpr17	OPC	0	106	1.677724609702442	2.038285479419635	
Cyp2j9	OPC	0	107	0.8218923597710968	1.0002861646768406	
F3	OPC	0	108	0.852266663495286	1.0406303377767014	
Ikzf2	OPC	0	109	1.1586443752002311	1.4259587998082732	
Fam196b	OPC	0	110	0.9701317675150305	1.2098033050954111	
Prrx1	OPC	0	111	0.9801955766312299	1.2291183781689101	
Mro	OPC	0	112	0.7823215351689391	0.9834528782519051	
Gm42948	OPC	0	113	0.9986823152991504	1.258362020569491	
S100a1	OPC	0	114	1.0991748500841805	1.385070305575009	
Traf4	OPC	0	115	0.8085106335106945	1.0266493309298492	
A930009A15Rik	OPC	0	116	0.7673477654803351	0.978186870012472	
Chst9	OPC	0	117	1.52923699954302	1.9519884478690013	
Fam114a1	OPC	0	118	0.7455569047561096	0.954215033444121	
Bcas1	OPC	0	119	4.415348144919573	5.717311578948793	
Pstpip2	OPC	0	120	1.5368017245761607	1.997570731291839	
G0s2	OPC	0	121	0.913773221752534	1.1884894678504994	
Arhgap24	OPC	0	122	2.6075057505137216	3.3950947238434135	
Chadl	OPC	0	123	0.6063462003205087	0.7903433736913295	
Rftn2	OPC	0	124	0.8858855445001005	1.160873289911331	
Mmp15	OPC	0	125	0.683628648951291	0.9034093776927105	
Tes	OPC	0	126	0.7573739703521678	1.0065976788155733	
Sox4	OPC	0	127	0.8733818675820879	1.1707610412265272	
Gm33680	OPC	0	128	1.0603702484293671	1.4342511623516636	
Gal3st1	OPC	0	129	0.7490629749698868	1.0181228993445939	
Kcnj10	OPC	0	130	0.7052212904735331	0.9636447224980431	
Scel	OPC	0	131	0.8699333832304331	1.2047329122869008	
Prkg2	OPC	0	132	0.8644543207314122	1.1972680669522586	
Tmem176a	OPC	0	133	0.6742263781007284	0.9401960504088716	
Zmat4	Lamp5	0	1	20.268536970885968	9.54069130444429	
Adra1a	Lamp5	0	2	12.863704616555376	6.797822140274363	
Slc24a3	Lamp5	0	3	12.70757616082633	7.012083190392167	
2900055J20Rik	Lamp5	0	4	6.857059184488006	3.9175892802081673	
Pip5k1b	Lamp5	0	5	11.350861072258416	6.708712541207018	
Slc2a13	Lamp5	0	6	20.397330828982827	12.354778730949068	
Gad2	Lamp5	0	7	18.5248823963801	11.625893195151841	
Kctd16	Lamp5	0	8	61.48440163752066	38.60793522488927	
Fgf13	Lamp5	0	9	43.51430200922442	27.370457651625006	
Igsf11	Lamp5	0	10	6.436124594287848	4.161232378362825	
Dlx6os1	Lamp5	0	11	8.771203697426218	5.835571363288638	
Ptpro	Lamp5	0	12	3.5049911832377534	2.399938727897189	
Adarb2	Lamp5	0	13	131.4575891895062	91.68263435740923	
Pld5	Lamp5	0	14	5.63237279240716	4.1687227954515995	
Adamts17	Lamp5	0	15	7.155292101980368	5.318899274359161	
